香港频道,#genre#
翡翠台,https://cdn.qd.je/163189/fct
翡翠台,https://cdn.qd.je/163189/fct2
翡翠台,https://cdn.qd.je/163189/fctvtt
翡翠台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
翡翠台,https://cdn6.cc.cd/163189/fct
翡翠台,https://cdn3.indevs.in/stream/tvb/fct/
翡翠台,https://cdn.qd.je/163189.php?id=fct
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://o11.163189.xyz/stream/tvb/fct/
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
翡翠台,https://epg.pw/stream/b1bedc34e0cd84c712106b10fa7bd2055a46898678c37e35aebe43290c2c8a1f.m3u8
翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fct2
翡翠台,https://o11.163189.xyz/stream/tvb/fct/
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
翡翠台,http://r.jdshipin.com/GeWKr?id=fct406
翡翠台,http://r.jdshipin.com/GeWKr
翡翠台,https://10.fast.hidns.vip/163189/fct/
翡翠台4K,https://cdn.qd.je/163189/fct4k
翡翠台4K,#KODIPROP:inputstream.adaptive.manifest_type=mpd
翡翠台4K,http://o11.163189.xyz/stream/tvb/fct4k/
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct/
翡翠台4K,http://cdn6.163189.xyz/163189/fct4k
翡翠台4K,http://o11.163189.xyz/stream/tvb/fct/
翡翠台4K,https://cdn3.indevs.in/stream/tvb/fct4k/
无线新闻台,https://cdn.qd.je/163189/wxxw
无线新闻台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
无线新闻台,https://cdn.qd.je/163189/wxxwt
无线新闻台,https://cdn6.cc.cd/163189/wxxwt
无线新闻台,https://cdn.qd.je/163189.php?id=wxxw
无线新闻台,http://main.light-ott.net:80/play/live.php?extension=ts&mac=00:1A:79:3A:93:FD&stream=1495601
无线新闻台,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新闻台,http://r.jdshipin.com/CkuBd
无线新闻台,https://cdn6.163189.xyz/163189/wxxw
无线新闻台,https://cdn6.cc.cd/163189/wxxw
明珠台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
明珠台,https://cdn.qd.je/163189/mzt
明珠台,https://cdn.qd.je/163189/mztvtt
明珠台,http://o11.163189.xyz/stream/tvb/mzt/
明珠台,http://r.jdshipin.com/ZQ4kN
明珠台,http://r.jdshipin.com/jUx8K
明珠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=mzt
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
明珠台,https://cdn10.163189.xyz/163189/mzt/
明珠台,https://mytv.cdn.loc.cc/o12.php?id=mzt
明珠台,https://cdn3.indevs.in/stream/tvb/mzt/
明珠台,https://10.fast.hidns.vip/163189/mzt/
TVB Plus,https://cdn.qd.je/163189/mzt
TVB Plus,https://cdn.qd.je/163189/mztvtt
TVB Plus,https://cdn.qd.je/163189/tvbp2
TVB Plus,https://cdn.qd.je/163189/tvbp
TVB Plus,https://cdn.qd.je/163189/tvbpvtt
TVB Plus,#KODIPROP:inputstream.adaptive.manifest_type=mpd
TVB Plus,https://cdn3.indevs.in/stream/tvb/tvbp/
TVB Plus,http://o11.163189.xyz/stream/tvb/tvbp/
TVB Plus,http://r.jdshipin.com/Nr5jq
TVB Plus,http://r.jdshipin.com/ndGgS
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
TVB Plus,https://php.jdshipin.com:2096/TVOD/iptv.php?id=tvbp
TVB Plus,https://smt.1678520.xyz/163189/tvbp
TVB Plus,https://10.fast.hidns.vip/163189/tvbp/
TVB Plus,http://cdn3.123.rr.kg/stream/tvb/tvbp/
HOY 77,https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
HOY 77,https://cdn.qd.je/163189/hoy
HOY 77,https://cdn.qd.je/163189/hoy2
HOY 77,http://r.jdshipin.com/sFw4S
HOY 77,http://cdn.163189.xyz/163189/hoy#https://cdn6.163189.xyz/163189/hoy
HOY 77,https://cdn6.cc.cd/163189/hoy
HOY 77,https://fast.hidns.vip/163189/hoy
HOY 77,http://cdn.163189.xyz/163189/hoy
HOY 76,https://cdn.qd.je/163189/hoy76
HOY 76,https://cdn11.163189.xyz/163189/hoy76
HOY 78,https://cdn.qd.je/163189/hoy78
HOY 78,https://cdn.163189.xyz/163189/hoy78
HOY 78,https://fast.hidns.vip/163189/hoy78
MYTVSUPER18台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
NOW新闻台,https://iptv.1989.click/hk/43993y?token=03a196fd50c25e22afa7158e1c90b38416a6c66752340e4c
NOW新闻台,https://cdn.qd.je/163189/now
NOW新闻台,http://cdn.163189.xyz/163189/now
NOW新闻台,https://fast.hidns.vip/163189/now
Now财经台,https://iptv.1989.click/hk/fdbmnz?token=03a196fd50c25e22afa7158e1c90b38416a6c66752340e4c
ROCK Action,#KODIPROP:inputstream.adaptive.manifest_type=mpd
ROCK Action,http://4gtv.cnlive.club/channel/n21b197ce/index.m3u8?q=1784702901150
ROCK Action,http://4gtv.cnlive.club/channel/n21b197ce/index.m3u8?q=1782639885837
ROCK Action,http://4gtv.cnlive.club/channel/n21b197ce/index.m3u8?q=1784706116084
ROCK Extreme,#KODIPROP:inputstream.adaptive.manifest_type=mpd
ROCK 綜藝娛樂,#KODIPROP:inputstream.adaptive.manifest_type=mpd
RTHK 31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHK 31,https://cdn.qd.je/163189/rthk31
RTHK 31,http://cdn.163189.xyz/163189/rthk31
RTHK 31,https://fast.hidns.vip/163189/rthk31
RTHK 32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
RTHK 32,https://cdn.qd.je/163189/rthk32
RTHK 32,http://cdn.163189.xyz/163189/rthk32
RTHK 32,https://fast.hidns.vip/163189/rthk32
RTHK 33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
RTHK 33,#KODIPROP:inputstream.adaptive.manifest_type=mpd
RTHK 33,http://cdn6.163189.xyz/163189/cctv1
RTHK 34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
SUPER EYT,#KODIPROP:inputstream.adaptive.manifest_type=mpd
SUPER Kids Channel,#KODIPROP:inputstream.adaptive.manifest_type=mpd
SUPER Sports,#KODIPROP:inputstream.adaptive.manifest_type=mpd
SUPER煲剧,#KODIPROP:inputstream.adaptive.manifest_type=mpd
SUPER奖门人,#KODIPROP:inputstream.adaptive.manifest_type=mpd
SUPER识食,#KODIPROP:inputstream.adaptive.manifest_type=mpd
SUPER识叹,#KODIPROP:inputstream.adaptive.manifest_type=mpd
SUPER Music,#KODIPROP:inputstream.adaptive.manifest_type=mpd
TVB J1,https://cdn.qd.je/163189/tvb1
TVB J1,https://cdn.qd.je/163189/j1
TVB J1,https://cdn6.cc.cd/163189/tvb1
TVB J1,https://cdn6.cc.cd/163189/j1
TVB J1,https://bcovlive-a.akamaihd.net/e360e3f9895c4fae99b133ec8dc20f01/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8
TVB J1,http://cdn6.123.rr.kg/163189/tvb1
TVB J1,http://cdn6.123.rr.kg/163189/j1
TVB J1,https://cdn.qd.je/163189.php?id=j1
TVB FREE,#KODIPROP:inputstream.adaptive.manifest_type=mpd
TVB1,https://cdn.qd.je/163189/tvb1
TVB1,https://cdn.qd.je/163189/j1
TVB1,https://cdn6.cc.cd/163189/tvb1
TVB1,https://cdn6.cc.cd/163189/j1
TVB1,https://bcovlive-a.akamaihd.net/e360e3f9895c4fae99b133ec8dc20f01/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8
TVB1,http://cdn6.123.rr.kg/163189/tvb1
TVB1,http://cdn6.123.rr.kg/163189/j1
TVB1,https://cdn.qd.je/163189.php?id=j1
myTV SUPER直播足球3台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
myTV SUPER直播足球4台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
互動窗 1,#KODIPROP:inputstream.adaptive.manifest_type=mpd
互動窗 2,#KODIPROP:inputstream.adaptive.manifest_type=mpd
华丽翡翠台,https://cdn.qd.je/163189/hlfct
华丽翡翠台,https://cdn.qd.je/163189/hlt
华丽翡翠台,https://cdn.qd.je/163189/jade
华丽翡翠台,https://cdn.qd.je/163189/jade2
华丽翡翠台,https://cdn6.cc.cd/163189/hlfct
华丽翡翠台,https://cdn6.cc.cd/163189/jade
华丽翡翠台,https://cdn3.indevs.in/stream/live/hlt/
华丽翡翠台,http://r.jdshipin.com/thuYX
华丽翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=Tvbjade
华丽翡翠台,https://o11.163189.xyz/stream/live/hlt/
华丽翡翠台,http://o11.163189.xyz/stream/live/jade/
华丽翡翠台,http://o11.163189.xyz/stream/live/hlt/
华丽翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=Wlt
华丽翡翠台,https://o11.163189.xyz/stream/live/jade/
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
华丽翡翠台,https://cdn3.indevs.in/stream/live/jade/
黄金翡翠台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
黃金華劇台,https://cdn.qd.je/163189/hjhjt
黃金華劇台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
黃金華劇台,https://cdn10.163189.xyz/163189/hjhjt/
黃金華劇台,https://10.fast.hidns.vip/163189/hjhjt/
翡翠剧集台,https://cdn.qd.je/163189/tvbd
翡翠剧集台,https://cdn6.cc.cd/163189/tvbd
娛樂新聞台,https://cdn.qd.je/163189/ylxw
娛樂新聞台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
娛樂新聞台,https://cdn6.cc.cd/163189/ylxw
娛樂新聞台,https://cdn9.163189.xyz/smt3.1.1.php?id=Tvbentertainment
娛樂新聞台,https://cdn6.163189.xyz/163189/ylxw
娛樂新聞台,http://v2hcdn.jdshipin.com/enew/enew.stream/chunklist_w103.m3u8
星河台,https://cdn.qd.je/163189/tvbxh
星河台,https://cdn.qd.je/163189/xinghe
星河台,https://cdn.qd.je/163189/tvbxh2
星河台,https://cdn6.cc.cd/163189/tvbxh
星河台,https://cdn3.indevs.in/stream/live/tvbxh/
星河台,http://o11.163189.xyz/stream/live/tvbxh/
星河台,https://cdn10.163189.xyz/163189/xinghe/
星河台,http://r.jdshipin.com/sXuuD
星河台,https://o11.163189.xyz/stream/live/tvbxh/
星河台,http://r.jdshipin.com/Voac4
星河台,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
星河台,https://10.fast.hidns.vip/163189/xinghe/
亚洲武侠电视台,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
亞洲劇台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
戲曲台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
粵語片台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
華語劇台,#KODIPROP:inputstream.adaptive.manifest_type=mpd
Viu 頻道,https://iptv.1989.click/hk/p2jwva?token=03a196fd50c25e22afa7158e1c90b38416a6c66752340e4c
Viu 頻道,https://cdn.qd.je/163189/viu
Viu 頻道,https://cdn.163189.xyz/163189/viu
Viu 頻道,https://10.fast.hidns.vip/163189/viu/
